run,main_0,main_2,main_4,main_6,main_8,main_10,main_12,main_14,main_16,main_18,main_20,main_22,main_24,main_26,main_28,main_30,main_32,main_34,main_36,main_37,main_38,main_40,main_42,main_44,main_46,main_48,main_50,main_52,main_54,main_56,main_58,main_60,main_62,main_64,main_66,main_68,main_70,main_72,main_74
0,60.522839142,61.869856044,65.909407449,68.511010996,64.186604893,63.743680291,67.634934662,73.888613826,75.951727024,72.803078866,71.813743345,66.605684079,66.460424319,76.554749525,77.919623934,78.696018636,69.450993338,72.238785313,73.363465854,71.799419092,74.785204488,75.330939249,76.036885965,67.502247694,79.129285402,78.03386414,66.37668075,74.630346114,75.744181578,76.823434031,73.776177239,76.260906481,,,,,,,
1,59.093806325,61.703984487,65.928908644,66.700264345,64.380051765,63.779065349,65.319816207,73.250693719,75.895871845,69.665709899,72.442192115,66.644178938,67.70069261,75.541379754,78.026058931,76.47594115,70.878942722,72.476965741,71.921279352,73.30854003,73.239396845,74.780419552,75.602171161,66.113125487,79.910734851,78.552395545,65.545619623,73.316505919,76.51398024,75.357930075,73.674852173,76.452860669,,,,,,,
2,59.488151166,62.332680541,64.712699726,66.911547097,64.091952703,66.050205103,64.085720089,73.445801033,75.50888132,70.743459802,75.892906332,66.02042298,66.196630202,76.15918829,79.02237935,77.054792303,68.389349924,72.351530391,71.07693839,73.738417963,73.110626251,75.173727829,76.013340067,66.470973954,79.310998935,78.781567804,65.598375771,73.925548303,74.573981646,75.180187675,75.69664363,77.040857735,,,,,,,
3,59.727007162,62.331772954,63.651967959,68.188946622,64.968161785,64.225341409,64.372621379,76.083892421,74.510492033,70.94560041,72.562434385,66.06340971,67.253116128,76.597070628,79.391223205,78.285884417,69.221797746,70.49229138,73.606055532,71.424430592,76.349787897,75.186969342,75.746142719,65.805415074,81.960498598,80.574133507,65.125864184,76.818376955,74.590120502,74.740838852,75.612066989,75.457724326,,,,,,,
4,59.070546834,62.161793278,62.642579855,67.451455713,67.758525455,65.241643045,64.242774797,73.364634824,75.878393626,69.899159075,74.339922938,67.99211871,67.154592806,76.775630347,79.261792724,76.847420865,69.749692483,72.541947814,71.780073665,72.008830839,76.392207137,77.47017958,75.256774242,67.434127498,78.923217074,79.360780572,68.276507313,73.680861969,75.696746198,75.6259894,74.394341542,76.716184634,,,,,,,
5,60.297377745,61.977148004,63.152729414,65.719994157,64.981497533,64.984588195,63.555203248,73.255835029,75.003779156,72.367412705,72.80999114,65.538345173,66.477652775,76.619572162,77.39254381,76.385213853,68.702605348,71.53238107,71.36596562,72.222029687,75.252654044,76.660524459,76.354734226,67.497138666,79.671871252,80.628487608,66.009277563,74.39113644,73.935288197,77.585749434,74.952418294,77.143870256,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
